variant_id,sample_reasons,frequency,frequency_pct,trace_length,duration_seconds_median,outcome,narrative
V0001,frequent,50286,0.1997584752159025,5,5551560.0,Clear Invoice,Create Purchase Order Item (handled by resource user_040) Vendor creates invoice (+15h) Record Goods Receipt (handled by resource user_029) (+18h) Record Invoice Receipt (handled by resource user_013) (+40d) Clear Invoice (handled by resource user_002) (+23d)
V0002,frequent,30798,0.12234342599728285,5,6994800.0,Clear Invoice,Create Purchase Order Item (handled by resource user_109) Record Goods Receipt (handled by resource user_193) (+17d) Vendor creates invoice (+7h) Record Invoice Receipt (handled by resource user_331) (+4d) Clear Invoice (handled by resource user_005) (+60d)
V0003,"frequent,length_low",12214,0.04851946896327075,2,1556760.0,Record Goods Receipt,Create Purchase Order Item (handled by resource user_095) Record Goods Receipt (handled by resource user_096) (+18d)
V0004,frequent,11383,0.04521836541746447,6,7435080.0,Clear Invoice,Create Purchase Order Item (handled by resource user_052) Vendor creates invoice (+7d) Record Goods Receipt (handled by resource user_053) (+10h) Record Invoice Receipt (handled by resource user_012) (+1d) Remove Payment Block (handled by resource user_006) (+62d) Clear Invoice (handled by resource user_002) (+15d)
V0005,frequent,9694,0.03850890225396649,6,8411580.0,Clear Invoice,Create Purchase Order Item (handled by resource batch_03) Receive Order Confirmation (handled by resource user_029) (+8h) Record Goods Receipt (handled by resource user_030) (+5d) Vendor creates invoice (+11h) Record Invoice Receipt (handled by resource user_012) (+2d) Clear Invoice (handled by resource user_002) (+89d)
V0006,frequent,8921,0.03543820064035847,6,5011140.0,Clear Invoice,Create Purchase Requisition Item (handled by resource user_451) Create Purchase Order Item (handled by resource user_042) (+8h) Vendor creates invoice (+16h) Record Goods Receipt (handled by resource user_029) (+18h) Record Invoice Receipt (handled by resource user_235) (+7d) Clear Invoice (+49d)
V0007,frequent,8835,0.03509657018916793,6,6820920.0,Clear Invoice,Create Purchase Order Item (handled by resource user_052) Vendor creates invoice (+21d) Record Invoice Receipt (handled by resource batch_00) (+6h) Record Goods Receipt (handled by resource user_107) (+9h) Remove Payment Block (handled by resource user_006) (+2h) Clear Invoice (handled by resource user_002) (+57d)
V0008,frequent,7985,0.03171999014833118,6,9184200.0,Clear Invoice,Create Purchase Order Item (handled by resource user_060) Record Goods Receipt (handled by resource user_031) (+14d) Vendor creates invoice (+8d) Record Invoice Receipt (handled by resource user_235) (+2d) Remove Payment Block (handled by resource user_015) (+5d) Clear Invoice (handled by resource user_002) (+78d)
V0009,"frequent,length_low",5298,0.02104602477218016,2,79560.0,Delete Purchase Order Item,Create Purchase Order Item (handled by resource user_033) Delete Purchase Order Item (handled by resource user_033) (+22h)
V0010,frequent,4244,0.01685906552154258,6,6666360.0,Clear Invoice,Create Purchase Order Item (handled by resource user_135) Receive Order Confirmation (handled by resource user_135) (+6h) Vendor creates invoice (+12d) Record Goods Receipt (handled by resource batch_05) (+5d) Record Invoice Receipt (handled by resource user_019) (+35d) Clear Invoice (handled by resource user_002) (+24d)
V0014,"duration_low,length_low",2835,0.011261887547967298,1,0.0,Create Purchase Order Item,Create Purchase Order Item (handled by resource user_116)
V0024,length_low,1488,0.005911001295017757,2,52500.0,Create Purchase Order Item,Create Purchase Requisition Item (handled by resource user_432) Create Purchase Order Item (handled by resource user_407) (+15h)
V0064,duration_low,298,0.001183789237846298,3,0.0,Record Service Entry Sheet,Create Purchase Order Item (handled by resource batch_10) Record Goods Receipt (handled by resource batch_10) Record Service Entry Sheet
V0068,length_low,279,0.0011083127428158294,2,3360.0,Change Approval for Purchase Order,Create Purchase Order Item (handled by resource user_602) Change Approval for Purchase Order (handled by resource user_603) (+56m)
V0162,duration_low,69,0.00027409885037380725,4,0.0,Record Goods Receipt,Create Purchase Order Item (handled by resource batch_10) Record Service Entry Sheet Record Service Entry Sheet Record Goods Receipt (handled by resource batch_10) Rework observed: Record Service Entry Sheet was repeated (seen in 69 cases).
V0244,duration_low,38,0.00015095299006093733,5,0.0,Record Service Entry Sheet,Create Purchase Order Item (handled by resource batch_10) Record Goods Receipt (handled by resource batch_10) Record Goods Receipt (handled by resource batch_10) Record Service Entry Sheet Record Service Entry Sheet Rework observed: Record Goods Receipt was repeated (seen in 38 cases); Record Service Entry Sheet was repeated (seen in 38 cases).
V0271,duration_low,33,0.0001310907545266035,5,0.0,Record Goods Receipt,Create Purchase Order Item (handled by resource batch_10) Record Service Entry Sheet Record Service Entry Sheet Record Service Entry Sheet Record Goods Receipt (handled by resource batch_10) Rework observed: Record Service Entry Sheet was repeated (seen in 33 cases).
V1038,duration_high,5,1.9862235534333862e-05,10,2217935340.0,Clear Invoice,Vendor creates invoice Vendor creates debit memo Create Purchase Order Item (handled by resource user_042) (+25565d) Record Goods Receipt (handled by resource user_029) (+1d) Record Invoice Receipt (handled by resource user_001) (+22h) Vendor creates invoice (+8h) Cancel Invoice Receipt (handled by resource user_006) (+100d) Clear Invoice (handled by resource user_006) (+1m) Record Invoice Receipt (handled by resource user_006) (+2m) Clear Invoice (handled by resource user_002) (+2d) Rework observed: Clear Invoice was repeated (seen in 5 cases); Record Invoice Receipt was repeated (seen in 5 cases); Vendor creates invoice was repeated (seen in 5 cases).
