variant_id,narrative
V0001,Create Purchase Order Item (handled by resource user_040) Vendor creates invoice (+15h) Record Goods Receipt (handled by resource user_029) (+18h) Record Invoice Receipt (handled by resource user_013) (+40d) Clear Invoice (handled by resource user_002) (+23d)
V0002,Create Purchase Order Item (handled by resource user_109) Record Goods Receipt (handled by resource user_193) (+17d) Vendor creates invoice (+7h) Record Invoice Receipt (handled by resource user_331) (+4d) Clear Invoice (handled by resource user_005) (+60d)
V0003,Create Purchase Order Item (handled by resource user_095) Record Goods Receipt (handled by resource user_096) (+18d)
V0004,Create Purchase Order Item (handled by resource user_052) Vendor creates invoice (+7d) Record Goods Receipt (handled by resource user_053) (+10h) Record Invoice Receipt (handled by resource user_012) (+1d) Remove Payment Block (handled by resource user_006) (+62d) Clear Invoice (handled by resource user_002) (+15d)
V0005,Create Purchase Order Item (handled by resource batch_03) Receive Order Confirmation (handled by resource user_029) (+8h) Record Goods Receipt (handled by resource user_030) (+5d) Vendor creates invoice (+11h) Record Invoice Receipt (handled by resource user_012) (+2d) Clear Invoice (handled by resource user_002) (+89d)
V0006,Create Purchase Requisition Item (handled by resource user_451) Create Purchase Order Item (handled by resource user_042) (+8h) Vendor creates invoice (+16h) Record Goods Receipt (handled by resource user_029) (+18h) Record Invoice Receipt (handled by resource user_235) (+7d) Clear Invoice (+49d)
V0007,Create Purchase Order Item (handled by resource user_052) Vendor creates invoice (+21d) Record Invoice Receipt (handled by resource batch_00) (+6h) Record Goods Receipt (handled by resource user_107) (+9h) Remove Payment Block (handled by resource user_006) (+2h) Clear Invoice (handled by resource user_002) (+57d)
V0008,Create Purchase Order Item (handled by resource user_060) Record Goods Receipt (handled by resource user_031) (+14d) Vendor creates invoice (+8d) Record Invoice Receipt (handled by resource user_235) (+2d) Remove Payment Block (handled by resource user_015) (+5d) Clear Invoice (handled by resource user_002) (+78d)
V0009,Create Purchase Order Item (handled by resource user_033) Delete Purchase Order Item (handled by resource user_033) (+22h)
V0010,Create Purchase Order Item (handled by resource user_135) Receive Order Confirmation (handled by resource user_135) (+6h) Vendor creates invoice (+12d) Record Goods Receipt (handled by resource batch_05) (+5d) Record Invoice Receipt (handled by resource user_019) (+35d) Clear Invoice (handled by resource user_002) (+24d)
V0011,Create Purchase Requisition Item (handled by resource user_124) Create Purchase Order Item (handled by resource user_187) (+10h) Vendor creates invoice (+4d) Record Goods Receipt (handled by resource user_188) (+15h) Record Invoice Receipt (handled by resource user_019) (+30d)
V0012,Create Purchase Requisition Item (handled by resource user_462) Create Purchase Order Item (handled by resource user_075) (+2d) Record Goods Receipt (handled by resource user_077) (+20d)
V0013,Create Purchase Order Item (handled by resource user_370) Record Goods Receipt (handled by resource user_067) (+8d) Vendor creates invoice (+8h) Record Invoice Receipt (handled by resource user_020) (+20d)
V0014,Create Purchase Order Item (handled by resource user_116)
V0015,Create Purchase Order Item (handled by resource user_277) Vendor creates invoice (+3d) Record Goods Receipt (handled by resource batch_05) (+4d) Record Invoice Receipt (handled by resource user_013) (+28d)
V0016,Create Purchase Requisition Item (handled by resource user_453) Create Purchase Order Item (handled by resource user_040) (+8h) Record Goods Receipt (handled by resource user_029) (+3d) Vendor creates invoice (+6h) Record Invoice Receipt (handled by resource user_020) (+27d) Clear Invoice (handled by resource user_005) (+27d)
V0017,Create Purchase Requisition Item (handled by resource user_446) Create Purchase Order Item (handled by resource batch_03) (+5h) Receive Order Confirmation (handled by resource user_029) (+13h) Record Goods Receipt (handled by resource user_367) (+4d) Vendor creates invoice (+12h) Record Invoice Receipt (handled by resource user_013) (+9d)
V0018,Create Purchase Requisition Item (handled by resource batch_16) Create Purchase Order Item (handled by resource user_057) (+14h) Record Goods Receipt (handled by resource user_211) (+16d) Vendor creates invoice (+1d) Record Invoice Receipt (handled by resource user_235) (+12d)
V0019,Create Purchase Order Item (handled by resource user_167) Change Quantity (handled by resource user_167) (+2d) Vendor creates invoice (+7d) Record Goods Receipt (handled by resource user_321) (+8h) Record Invoice Receipt (handled by resource user_013) (+3d) Clear Invoice (handled by resource user_002) (+81d)
V0020,Vendor creates invoice Create Purchase Order Item (handled by resource user_134) (+16d) Record Goods Receipt (handled by resource batch_02) (+6d) Record Invoice Receipt (handled by resource user_001) (+12d) Clear Invoice (handled by resource user_005) (+18d)
V0021,Create Purchase Requisition Item (handled by resource user_439) Create Purchase Order Item (handled by resource user_286) (+2d) Vendor creates invoice (+45d) Record Goods Receipt (handled by resource batch_06) (+11h) Record Invoice Receipt (handled by resource user_013) (+13d) Remove Payment Block (handled by resource user_015) (+7d) Clear Invoice (handled by resource user_002) (+1d)
